#{"t_start": 1770904748.212053, "env_id": "None"}
r,l,t
-12.121955,85,74.752393
-12.371255,126,74.797876
-3.31502,118,74.839497
2.843371,115,74.883161
9.924851,131,74.927216
-5.054733,110,74.962674
-19.800784,158,75.01076
-25.834965,110,75.04219
-35.982582,123,75.076919
-32.334416,137,75.114177
-37.626427,102,75.141175
26.495742,205,75.193972
12.909126,121,75.224229
42.805904,195,75.271622
-24.951734,99,75.9375
-2.472773,111,75.977436
46.066889,198,76.046297
-12.523526,110,76.086755
-13.562651,90,76.119964
-6.706519,206,76.189778
6.649581,159,76.239403
25.965903,154,76.285069
3.162648,113,76.31672
-29.652469,174,76.36648
33.233245,233,76.426129
-21.243097,151,76.463671
10.046205,146,76.504614
-11.715187,90,76.525964
-6.867499,105,77.22992
-1.034583,136,77.277258
3.949962,117,77.319947
-17.874091,92,77.35434
46.220514,209,77.432468
-13.437172,138,77.481755
-16.376493,172,77.532444
-16.302101,104,77.559671
30.252019,211,77.613411
28.981293,174,77.656733
5.322266,159,77.695723
16.250035,146,77.731777
84.990188,323,77.811115
-24.417171,123,78.496083
14.454738,143,78.546115
-20.42881,144,78.596735
-43.854459,145,78.64904
43.377868,194,78.717712
-31.23105,128,78.758502
-3.919302,113,78.792514
-16.630633,114,78.824882
78.562433,265,78.896209
-15.216418,176,78.942371
-5.691597,118,78.972014
-8.067154,136,79.005473
-3.866573,171,79.046796
-25.086367,117,79.730507
-23.244795,140,79.780938
-2.092206,128,79.826694
-33.678481,126,79.870845
6.318551,133,79.918835
-42.627492,143,79.967962
-8.876123,103,80.003496
118.016121,351,80.105456
49.914302,245,80.170475
-25.288099,121,80.201892
104.098146,382,80.294711
-6.283766,189,81.072288
38.754941,166,81.134232
8.310477,128,81.181627
-9.872003,123,81.227569
36.737376,236,81.310558
11.554635,155,81.360893
8.104119,118,81.396938
-34.089521,142,81.437313
48.794445,230,81.499119
25.991663,175,81.544534
6.138483,123,81.575175
-14.061076,109,81.601955
-9.18883,110,81.629113
-31.558586,130,81.660123
27.362325,164,82.407025
-35.453627,148,82.462887
-6.003139,150,82.517113
14.836561,154,82.571917
14.321758,181,82.633686
-13.392681,127,82.67395
